doc_id,title,body,tags,product,category
KB-001,退款与账单案例摘要 1,公开工单主题：Problem with Monthly Subscription Being Charged Twice。公开工单摘录：I was charged twice during my monthly subscription billing cycle. This might have happened due to a system glitch causing overlapping transactions. I have already checked my payme…。来源队列：Billing and Payments。建议结合产品“灯塔路由器”与当前工单上下文继续核验。,"billing_refund,灯塔路由器,support,public_corpus",灯塔路由器,billing_refund
KB-002,退款与账单案例摘要 2,公开工单主题：Problem with Monthly Subscription Double Charging。公开工单摘录：My monthly subscription was charged twice during the billing cycle. This may have occurred due to a system glitch causing overlapping transactions. I have already checked my payme…。来源队列：Billing and Payments。建议结合产品“云桌面协作”与当前工单上下文继续核验。,"billing_refund,云桌面协作,support,public_corpus",云桌面协作,billing_refund
KB-003,退款与账单案例摘要 3,"公开工单主题：Concern Regarding Monthly Subscription Billing。公开工单摘录：Dear Customer Support, I hope this message finds you well. I am writing to draw your attention to an issue with my subscription charges. I was charged twice in the same month, and…。来源队列：Billing and Payments。建议结合产品“视觉巡检仪”与当前工单上下文继续核验。","billing_refund,视觉巡检仪,support,public_corpus",视觉巡检仪,billing_refund
KB-004,退款与账单案例摘要 4,"公开工单主题：Recurring Charges During Subscription Period。公开工单摘录：There seems to be an issue with charges occurring twice during my subscription period, which might be due to a glitch in the billing system. I have reviewed my payment methods and…。来源队列：Billing and Payments。建议结合产品“安全金库”与当前工单上下文继续核验。","billing_refund,安全金库,support,public_corpus",安全金库,billing_refund
KB-005,退款与账单案例摘要 5,"公开工单主题：Assistance with Billing System Error。公开工单摘录：Concerning the issue with the billing system, there has been a mistaken double charge on the SaaS subscription. This might be due to an error in the payment processing system. Des…。来源队列：Billing and Payments。建议结合产品“运维控制台”与当前工单上下文继续核验。","billing_refund,运维控制台,support,public_corpus",运维控制台,billing_refund
KB-006,退款与账单案例摘要 6,公开工单主题：Request for Updating Billing System to Support Automated Invoicing。公开工单摘录：We need to update the billing system to support automatic invoicing for annual subscription plans. This task includes integrating a payment gateway and automating invoice generati…。来源队列：Billing and Payments。建议结合产品“灯塔路由器”与当前工单上下文继续核验。,"billing_refund,灯塔路由器,support,public_corpus",灯塔路由器,billing_refund
KB-007,退款与账单案例摘要 7,公开工单主题：Upgrade Billing System for Annual Subscription Invoicing。公开工单摘录：The task is to update the billing system to support the automated invoicing for annual subscription plans. This includes integrating a payment gateway and setting up automatic inv…。来源队列：Billing and Payments。建议结合产品“云桌面协作”与当前工单上下文继续核验。,"billing_refund,云桌面协作,support,public_corpus",云桌面协作,billing_refund
KB-008,退款与账单案例摘要 8,"公开工单主题：Concern Regarding Monthly Subscription Charges。公开工单摘录：Hello Customer Support, I hope you can address the issue with my subscription charges. I was charged twice in the same month and suspect it might be due to a system error. I have…。来源队列：Billing and Payments。建议结合产品“视觉巡检仪”与当前工单上下文继续核验。","billing_refund,视觉巡检仪,support,public_corpus",视觉巡检仪,billing_refund
KB-009,退款与账单案例摘要 9,"公开工单主题：Concern About Monthly Subscription Charges。公开工单摘录：Dear Support, I hope this message finds you well. I am writing to bring to your attention an issue with my subscription charges. I was charged twice for the same month, and I beli…。来源队列：Billing and Payments。建议结合产品“安全金库”与当前工单上下文继续核验。","billing_refund,安全金库,support,public_corpus",安全金库,billing_refund
KB-010,退款与账单案例摘要 10,"公开工单主题：Issue with Monthly Subscription Payment。公开工单摘录：The monthly subscription fee was charged twice, which has significantly affected my account balance. This might have occurred due to a billing processing error or system glitch. I…。来源队列：Billing and Payments。建议结合产品“运维控制台”与当前工单上下文继续核验。","billing_refund,运维控制台,support,public_corpus",运维控制台,billing_refund
KB-011,退款与账单案例摘要 11,"公开工单主题：Issue with Monthly Subscription Fee Deduction。公开工单摘录：My monthly subscription was charged twice, significantly affecting my account balance. This might have occurred due to a billing processing error or a system glitch. I have alread…。来源队列：Billing and Payments。建议结合产品“灯塔路由器”与当前工单上下文继续核验。","billing_refund,灯塔路由器,support,public_corpus",灯塔路由器,billing_refund
KB-012,退款与账单案例摘要 12,"公开工单主题：Problem with Subscription Billing。公开工单摘录：Greeting Customer Support, I am contacting you to highlight unanticipated subscription fees on my invoice. This could be due to a technical error in the billing system of various…。来源队列：Billing and Payments。建议结合产品“云桌面协作”与当前工单上下文继续核验。","billing_refund,云桌面协作,support,public_corpus",云桌面协作,billing_refund
KB-013,退款与账单案例摘要 13,"公开工单主题：Encountering Unusual Billing Errors Across Several Products。公开工单摘录：I am currently facing unexpected billing failures for several of my products. I have already confirmed my account details, reviewed the payment gateway status, and restarted the n…。来源队列：Billing and Payments。建议结合产品“视觉巡检仪”与当前工单上下文继续核验。","billing_refund,视觉巡检仪,support,public_corpus",视觉巡检仪,billing_refund
KB-014,退款与账单案例摘要 14,公开工单主题：Modify billing system for automated annual subscription invoicing。公开工单摘录：Adjust the billing system to enable automated invoicing for annual subscription plans. This includes linking a payment gateway and producing invoices automatically. Ensure the sys…。来源队列：Billing and Payments。建议结合产品“安全金库”与当前工单上下文继续核验。,"billing_refund,安全金库,support,public_corpus",安全金库,billing_refund
KB-015,退款与账单案例摘要 15,公开工单主题：Problem with Subscription Renewal Payment。公开工单摘录：My subscription renewal was charged twice due to a recent processing error. I have already attempted to contact support and reviewed my billing history.。来源队列：Billing and Payments。建议结合产品“运维控制台”与当前工单上下文继续核验。,"billing_refund,运维控制台,support,public_corpus",运维控制台,billing_refund
KB-016,退款与账单案例摘要 16,"公开工单主题：Issue With Billing Process。公开工单摘录：Dear Support Team,\n\nI am reaching out to address a billing error that happened during my subscription renewal. After double-checking my account details and making sure my paymen…。来源队列：Returns and Exchanges。建议结合产品“灯塔路由器”与当前工单上下文继续核验。","billing_refund,灯塔路由器,support,public_corpus",灯塔路由器,billing_refund
KB-017,退款与账单案例摘要 17,"公开工单主题：Billing Error Issue。公开工单摘录：Hello Customer Support,\n\nI am contacting you to report an unexpected billing error that happened during my subscription renewal process. Even after checking my account and payme…。来源队列：Returns and Exchanges。建议结合产品“云桌面协作”与当前工单上下文继续核验。","billing_refund,云桌面协作,support,public_corpus",云桌面协作,billing_refund
KB-018,退款与账单案例摘要 18,公开工单主题：Problem with Subscription Payment。公开工单摘录：I am reaching out to address an unexpected payment failure for my subscription renewal. This failure could be due to an expired credit card or an incorrect billing address. I have…。来源队列：Billing and Payments。建议结合产品“视觉巡检仪”与当前工单上下文继续核验。,"billing_refund,视觉巡检仪,support,public_corpus",视觉巡检仪,billing_refund
KB-019,退款与账单案例摘要 19,"公开工单主题：Request to Update Billing Information for Marketing。公开工单摘录：Hello Customer Support, I am writing to request an update to my billing information related to payment preferences for both software and hardware products used in our marketing st…。来源队列：Billing and Payments。建议结合产品“安全金库”与当前工单上下文继续核验。","billing_refund,安全金库,support,public_corpus",安全金库,billing_refund
KB-020,退款与账单案例摘要 20,公开工单主题：Problem with Payment Not Going Through。公开工单摘录：I am facing an unexpected issue with a payment failure on my ongoing subscription. It might be due to an expired credit card or incorrect billing info. I have reviewed my account…。来源队列：Billing and Payments。建议结合产品“运维控制台”与当前工单上下文继续核验。,"billing_refund,运维控制台,support,public_corpus",运维控制台,billing_refund
KB-021,退款与账单案例摘要 21,公开工单主题：Concern about Overcharged Invoice。公开工单摘录：I noticed an overcharge on several items on my last invoice and suspect a billing error or system issue. Despite prior communications with support and a thorough review of the inv…。来源队列：Billing and Payments。建议结合产品“灯塔路由器”与当前工单上下文继续核验。,"billing_refund,灯塔路由器,support,public_corpus",灯塔路由器,billing_refund
KB-022,退款与账单案例摘要 22,"公开工单主题：Request to Update Payment Preferences for Marketing。公开工单摘录：Dear customer support, I am writing to request an update to my billing information in relation to payment preferences for software and hardware products used in marketing strategi…。来源队列：Billing and Payments。建议结合产品“云桌面协作”与当前工单上下文继续核验。","billing_refund,云桌面协作,support,public_corpus",云桌面协作,billing_refund
KB-023,退款与账单案例摘要 23,"公开工单主题：Problem with Incorrect Billing of Multiple Subscriptions。公开工单摘录：Multiple subscriptions are being billed incorrectly, which might be due to misconfigured payment gateway settings. I have already verified my account details and checked my paymen…。来源队列：Billing and Payments。建议结合产品“视觉巡检仪”与当前工单上下文继续核验。","billing_refund,视觉巡检仪,support,public_corpus",视觉巡检仪,billing_refund
