template_id,category,tone,body
TPL-001,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-002,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-003,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-004,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-005,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-006,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-007,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-008,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-009,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-010,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-011,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-012,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-013,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-014,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-015,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-016,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-017,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-018,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-019,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-020,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-021,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-022,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-023,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-024,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-025,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-026,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-027,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-028,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-029,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-030,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-031,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-032,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-033,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-034,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-035,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-036,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-037,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-038,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-039,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-040,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-041,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-042,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-043,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-044,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-045,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-046,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-047,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-048,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-049,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-050,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-051,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-052,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-053,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-054,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-055,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-056,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-057,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-058,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-059,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-060,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-061,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-062,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-063,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-064,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-065,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-066,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-067,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-068,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-069,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-070,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-071,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-072,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-073,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-074,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-075,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-076,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-077,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-078,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-079,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-080,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-081,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-082,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-083,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-084,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-085,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-086,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-087,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-088,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-089,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-090,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-091,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-092,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-093,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-094,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-095,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-096,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-097,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-098,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-099,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-100,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-101,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-102,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-103,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-104,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-105,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-106,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-107,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-108,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-109,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-110,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-111,billing_refund,warm,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-112,delivery_issue,concise,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-113,technical_issue,warm,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-114,account_access,concise,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-115,general_inquiry,warm,我们已经收到你的咨询，会结合产品资料给出清晰答复。
TPL-116,billing_refund,concise,我们已经收到你的退款诉求，正在根据订单信息核验下一步处理方案。
TPL-117,delivery_issue,warm,我们正在核对订单履约状态，会尽快同步最新物流进展。
TPL-118,technical_issue,concise,我们已经开始排查故障，会结合影响范围和优先级推进处理。
TPL-119,account_access,warm,我们会先协助你核对账号访问问题，再给出下一步处理方案。
TPL-120,general_inquiry,concise,我们已经收到你的咨询，会结合产品资料给出清晰答复。
