attachment_id,ticket_id,filename,file_type,source_dataset,storage_path,content_hash,ocr_text,visual_summary,metadata,parse_status,created_at
ATT-MM-0001,TCK-0291,cord_receipt_000000.png,image,Voxel51/cord_v1_train,data/attachments/real_public/cord_receipt_000000.png,a08340885ba3847aa472bdf6813a867147a443d5bb898c7950102d00d34bd03e,"x 1 Nasi Campur Bali 75,000 Bbk Bengil 125,000 MilkShake Starwb 37,000 Ice Lemon Tea 24,000 Ayam Dewata 70,000 3 Free 0 Organic Green Sa 65,000 18,000 Orange 29,000 Suir 85,000 2 Tahu Goreng 36,000 Tempe Telor Asin 40,000 Samb Panggang Sam 366,000 Sambal Hija 92,000 Hot 44,000 Kopi 32,000 40,000 Bebek Street Tawar Sub-Total 1,346,000 Service 100,950 PB1 144,695 Rounding -45 Grand Total 1,591,600","真实公开 CORD 收据图片，标注总金额 1,591,600，小计 1,346,000，服务费 100,950。","{""sample_id"": ""REAL-CORD-000000"", ""case_type"": ""payment_verified_real_public"", ""gold_evidence_type"": ""payment_screenshot"", ""public_dataset"": ""Voxel51/cord_v1_train"", ""source_file"": ""data/000000.png"", ""source_note"": ""真实公开 CORD 收据图片，仅用于演示原始附件预览；退款放行仍以订单系统和策略证据为准。""}",pending,2026-05-16T00:00:00
ATT-MM-0002,TCK-0196,payment_success.png,image,synthetic_sroie_cord_style,,49890cad4c3ee3b09c8c63434ccb9bf8a88b34d195fa360092f7b74ce1c631dd,支付成功 订单号 ORD-0095 金额 317.5 元,支付截图显示 运维控制台 已完成付款，金额 317.5 元。,"{""sample_id"": ""MMT-0002"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 317.5, ""order_id"": ""ORD-0095""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0003,TCK-0101,payment_success.png,image,synthetic_sroie_cord_style,,c0efeba3b2699daae6d3779aeb1c0202c7c42b38f4286a05ba8c42da15e2e9a1,支付成功 订单号 ORD-0052 金额 673.0 元,支付截图显示 云桌面协作 已完成付款，金额 673.0 元。,"{""sample_id"": ""MMT-0003"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 673.0, ""order_id"": ""ORD-0052""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0004,TCK-0006,payment_success.png,image,synthetic_sroie_cord_style,,be8407d27ee98d156d0b57526629c7c2798b97d6b16d744aceaf35d940a65590,支付成功 订单号 ORD-0008 金额 475.5 元,支付截图显示 视觉巡检仪 已完成付款，金额 475.5 元。,"{""sample_id"": ""MMT-0004"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 475.5, ""order_id"": ""ORD-0008""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0005,TCK-0296,payment_success.png,image,synthetic_sroie_cord_style,,096a75a1d33b602f27eaab8d04cd3e61267346dc651e95cf11980feb92da1796,支付成功 订单号 ORD-0010 金额 554.5 元,支付截图显示 运维控制台 已完成付款，金额 554.5 元。,"{""sample_id"": ""MMT-0005"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 554.5, ""order_id"": ""ORD-0010""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0006,TCK-0201,payment_success.png,image,synthetic_sroie_cord_style,,2baf8af89d06f9dae266a06c17aaa26d744f49fe73326e4030c41414e24bd300,支付成功 订单号 ORD-0102 金额 594.0 元,支付截图显示 云桌面协作 已完成付款，金额 594.0 元。,"{""sample_id"": ""MMT-0006"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 594.0, ""order_id"": ""ORD-0102""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0007,TCK-0011,payment_success.png,image,synthetic_sroie_cord_style,,486dfc50d317e52198fdddde99d9ad88430d6c2ff6581502ddac2fec88f79398,支付成功 订单号 ORD-0014 金额 199.0 元,支付截图显示 安全金库 已完成付款，金额 199.0 元。,"{""sample_id"": ""MMT-0007"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 199.0, ""order_id"": ""ORD-0014""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0008,TCK-0301,payment_success.png,image,synthetic_sroie_cord_style,,a4a1c068958d18ac852b20ef67371322a1ff5f5c25b780e6a58d5af844d955e4,支付成功 订单号 ORD-0017 金额 317.5 元,支付截图显示 云桌面协作 已完成付款，金额 317.5 元。,"{""sample_id"": ""MMT-0008"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 317.5, ""order_id"": ""ORD-0017""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0009,TCK-0206,payment_success.png,image,synthetic_sroie_cord_style,,2b5f937ad4089cd0165b6cc643bdd35ca688445e8d85a5e60518796353248533,支付成功 订单号 ORD-0108 金额 317.5 元,支付截图显示 视觉巡检仪 已完成付款，金额 317.5 元。,"{""sample_id"": ""MMT-0009"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 317.5, ""order_id"": ""ORD-0108""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0010,TCK-0111,payment_success.png,image,synthetic_sroie_cord_style,,37f1279b69958799a1357cffb8bc2d191b45177a76358c3af7ff7cab3fa564cd,支付成功 订单号 ORD-0064 金额 633.5 元,支付截图显示 安全金库 已完成付款，金额 633.5 元。,"{""sample_id"": ""MMT-0010"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 633.5, ""order_id"": ""ORD-0064""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0011,TCK-0016,payment_success.png,image,synthetic_sroie_cord_style,,c16a5091a60a0df683264e6de9a07c5bbc6151e025c06fc9adfb1200dff19546,支付成功 订单号 ORD-0020 金额 436.0 元,支付截图显示 运维控制台 已完成付款，金额 436.0 元。,"{""sample_id"": ""MMT-0011"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 436.0, ""order_id"": ""ORD-0020""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0012,TCK-0306,payment_success.png,image,synthetic_sroie_cord_style,,26f694670aedc97d9ac75f04a649f5948b10e2f458ccd30a723d030249d74f44,支付成功 订单号 ORD-0023 金额 554.5 元,支付截图显示 视觉巡检仪 已完成付款，金额 554.5 元。,"{""sample_id"": ""MMT-0012"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 554.5, ""order_id"": ""ORD-0023""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0013,TCK-0116,payment_success.png,image,synthetic_sroie_cord_style,,8795b065a5c0b44ed1bfa5fde4fd1a28327e1c63b44cf1cf59908255b0319c92,支付成功 订单号 ORD-0070 金额 357.0 元,支付截图显示 运维控制台 已完成付款，金额 357.0 元。,"{""sample_id"": ""MMT-0013"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 357.0, ""order_id"": ""ORD-0070""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0014,TCK-0021,payment_success.png,image,synthetic_sroie_cord_style,,ac668ed4c834ddc148938d436bfc3cc235161a710e908c774d6b263b9a061c56,支付成功 订单号 ORD-0027 金额 199.0 元,支付截图显示 云桌面协作 已完成付款，金额 199.0 元。,"{""sample_id"": ""MMT-0014"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 199.0, ""order_id"": ""ORD-0027""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0015,TCK-0311,payment_success.png,image,synthetic_sroie_cord_style,,8436923b03e126c4b9cea39c44d39c8ad6cd719ee7d4aff76f5caec41f30260a,支付成功 订单号 ORD-0029 金额 278.0 元,支付截图显示 安全金库 已完成付款，金额 278.0 元。,"{""sample_id"": ""MMT-0015"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 278.0, ""order_id"": ""ORD-0029""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0016,TCK-0216,payment_success.png,image,synthetic_sroie_cord_style,,6d3a7bd2b20f5ac2c79ce078ba256a25622a76f3a880ce4bd9f4cb4e2608b835,支付成功 订单号 ORD-0120 金额 278.0 元,支付截图显示 运维控制台 已完成付款，金额 278.0 元。,"{""sample_id"": ""MMT-0016"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 278.0, ""order_id"": ""ORD-0120""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0017,TCK-0121,payment_success.png,image,synthetic_sroie_cord_style,,c93541804669c0f63793b0688272c6b7fb878fa2c4aadd8d3ac1c615cadd1ec0,支付成功 订单号 ORD-0092 金额 199.0 元,支付截图显示 云桌面协作 已完成付款，金额 199.0 元。,"{""sample_id"": ""MMT-0017"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 199.0, ""order_id"": ""ORD-0092""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0018,TCK-0026,payment_success.png,image,synthetic_sroie_cord_style,,5516db56586a0b2a746b738b8f87764e46ff43041d5506821e5351e58c06f0de,支付成功 订单号 ORD-0048 金额 515.0 元,支付截图显示 视觉巡检仪 已完成付款，金额 515.0 元。,"{""sample_id"": ""MMT-0018"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 515.0, ""order_id"": ""ORD-0048""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0019,TCK-0221,payment_success.png,image,synthetic_sroie_cord_style,,d997b398feec1f0ffc961be8c94167db67a66a952ad096b1626e1f2206d5fa8e,支付成功 订单号 ORD-0007 金额 436.0 元,支付截图显示 云桌面协作 已完成付款，金额 436.0 元。,"{""sample_id"": ""MMT-0019"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 436.0, ""order_id"": ""ORD-0007""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0020,TCK-0126,payment_success.png,image,synthetic_sroie_cord_style,,a5a397167d4569fdfbdc76480ea2b99adf25a1601979997cfebf02fe76f44399,支付成功 订单号 ORD-0098 金额 436.0 元,支付截图显示 视觉巡检仪 已完成付款，金额 436.0 元。,"{""sample_id"": ""MMT-0020"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 436.0, ""order_id"": ""ORD-0098""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0021,TCK-0031,payment_success.png,image,synthetic_sroie_cord_style,,30b623e1d3e3b2c7244bee6d06271daf08d4dadf8e6f24380832aa03a932a896,支付成功 订单号 ORD-0054 金额 238.5 元,支付截图显示 安全金库 已完成付款，金额 238.5 元。,"{""sample_id"": ""MMT-0021"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 238.5, ""order_id"": ""ORD-0054""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0022,TCK-0321,payment_success.png,image,synthetic_sroie_cord_style,,0199a7380ee9eba69edd9c94c57757e146eea90bbe90371c6b92f09c4ab950db,支付成功 订单号 ORD-0057 金额 357.0 元,支付截图显示 云桌面协作 已完成付款，金额 357.0 元。,"{""sample_id"": ""MMT-0022"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 357.0, ""order_id"": ""ORD-0057""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0023,TCK-0226,payment_success.png,image,synthetic_sroie_cord_style,,59dbabd4ee78478ee50887acaa61cb8975e82df89c8ea6306a45d690fb86afb1,支付成功 订单号 ORD-0013 金额 673.0 元,支付截图显示 视觉巡检仪 已完成付款，金额 673.0 元。,"{""sample_id"": ""MMT-0023"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 673.0, ""order_id"": ""ORD-0013""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0024,TCK-0131,payment_success.png,image,synthetic_sroie_cord_style,,a44e9af099987b184ab5b9188cf61f707a3e2282353bd195cad98de563c23edd,支付成功 订单号 ORD-0104 金额 673.0 元,支付截图显示 安全金库 已完成付款，金额 673.0 元。,"{""sample_id"": ""MMT-0024"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 673.0, ""order_id"": ""ORD-0104""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0025,TCK-0326,payment_success.png,image,synthetic_sroie_cord_style,,7fb66ddeec8058116f42a379ca6f924e84f04842d8bda162ec764a1bf5df1f9e,支付成功 订单号 ORD-0063 金额 594.0 元,支付截图显示 视觉巡检仪 已完成付款，金额 594.0 元。,"{""sample_id"": ""MMT-0025"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 594.0, ""order_id"": ""ORD-0063""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0026,TCK-0231,payment_success.png,image,synthetic_sroie_cord_style,,7b7cc0ccafdc09b14563216ac163330940ccff4c439c6f5ed0e21d6e37719726,支付成功 订单号 ORD-0019 金额 396.5 元,支付截图显示 安全金库 已完成付款，金额 396.5 元。,"{""sample_id"": ""MMT-0026"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 396.5, ""order_id"": ""ORD-0019""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0027,TCK-0136,payment_success.png,image,synthetic_sroie_cord_style,,f2b24dda16da7b39c6e77d5b5ee9786be6ae6f84a8806400ba757b180d380401,支付成功 订单号 ORD-0110 金额 396.5 元,支付截图显示 运维控制台 已完成付款，金额 396.5 元。,"{""sample_id"": ""MMT-0027"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 396.5, ""order_id"": ""ORD-0110""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0028,TCK-0041,payment_success.png,image,synthetic_sroie_cord_style,,fcf63464b3762f3a4c91d463c320a59386d6ed08c371fed425f17bc2b9b8aa2e,支付成功 订单号 ORD-0067 金额 238.5 元,支付截图显示 云桌面协作 已完成付款，金额 238.5 元。,"{""sample_id"": ""MMT-0028"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 238.5, ""order_id"": ""ORD-0067""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0029,TCK-0331,payment_success.png,image,synthetic_sroie_cord_style,,9bcae561afe1580199c2b38c980d02260c7c1dc4eeff364ad73b50fdca452d6f,支付成功 订单号 ORD-0069 金额 317.5 元,支付截图显示 安全金库 已完成付款，金额 317.5 元。,"{""sample_id"": ""MMT-0029"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 317.5, ""order_id"": ""ORD-0069""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0030,TCK-0236,payment_success.png,image,synthetic_sroie_cord_style,,04104e334fde35a46469aac94dc2c925ccc41906eb23d747b027fe345b7abb15,支付成功 订单号 ORD-0025 金额 633.5 元,支付截图显示 运维控制台 已完成付款，金额 633.5 元。,"{""sample_id"": ""MMT-0030"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 633.5, ""order_id"": ""ORD-0025""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
ATT-MM-0031,TCK-0046,payment_success.png,image,synthetic_sroie_cord_style,,168475885cc14e371aaed46d6aac75f19f8e6a49baf29bfe2d535a01ab0a0e97,支付成功 订单号 ORD-0073 金额 475.5 元,支付截图显示 视觉巡检仪 已完成付款，金额 475.5 元。,"{""sample_id"": ""MMT-0031"", ""case_type"": ""payment_verified"", ""gold_evidence_type"": ""payment_screenshot"", ""gold_entities"": {""amount"": 475.5, ""order_id"": ""ORD-0073""}, ""notes"": ""SROIE/CORD-style receipt evidence; order system remains authoritative.""}",pending,2026-05-16T00:00:00
