ticket_id,channel,customer_id,customer_tier,title,body,product,created_at,status,linked_order_id,expected_category,source_dataset,source_ticket_ref,source_language,source_queue,source_subject,source_body
TCK-0001,email,CUST-001,standard,想确认最近订单的退款处理,我们在使用“云桌面协作”过程中遇到了账单金额或发票信息异常，现在想申请退款或补偿。我手头暂时找不到订单号，但可以补充付款截图和采购信息，请先帮我确认处理规则。,云桌面协作,2026-03-30T09:00:00,open,,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-13845,en,Billing and Payments,Problem with Monthly Subscription Being Charged Twice,"I was charged twice during my monthly subscription billing cycle. This might have happened due to a system glitch causing overlapping transactions. I have already checked my payment methods and attempted to resubscribe, but the issue still persists. I would greatly appreciate if you could look into this matter and provide a refund for the extra charge as soon as possible. Please let me know if you need any additional information to resolve this issue."
TCK-0002,chat,CUST-002,premium,物流履约出现异常，想尽快确认,“云桌面协作”这笔订单 ORD-0002 已经等待多日，目前仍有发货与配送状态异常 的迹象，麻烦同步当前承运与履约进展。,云桌面协作,2026-03-30T07:59:00,open,ORD-0002,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-04338,en,Returns and Exchanges,Problem with Recent Order,"A few items from my recent purchase are not amongst my delivery. I reached out to the support team, but the problem still hasn't been resolved. It could be due to a shipping error or a mismatch in inventory. I would be grateful if you could look into this and offer a solution at your earliest convenience. Kindly inform me if any further details from my side are required to address this."
TCK-0003,web,CUST-003,enterprise,故障影响正常业务推进,“云桌面协作”当前存在明显的系统报错或故障需要排查，现场已经很难继续推进业务，麻烦优先安排技术排查。 目前已经影响生产，SLA 有风险，请按高优先级处理。,云桌面协作,2026-03-30T06:58:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-02480,en,Technical Support,Incident Report: SaaS Project Management Tool Crashed Suddenly Today,"Dear Support Team, We encountered an issue with our SaaS project management tool today. The dashboard failed to load and error messages were displayed unexpectedly. There is a possibility that the problem is due to a SQL Server 2019 database connection issue. We have already attempted restarting the server and disabling browser extensions, but the problem continues. We would be grateful if you could examine the situation and provide a resolution at your earliest convenience. Kindly inform us if you require any extra information from our side. We look forward to your response. Thanks for your attention and support. Best regards, [Your Name]"
TCK-0004,email,CUST-004,standard,密码重置或凭证校验失败，需要协助处理,我们在访问“运维控制台”时遇到密码重置或凭证校验失败，已经尝试重置密码和重新验证，但仍然无法恢复，请协助排查账号或权限配置。,运维控制台,2026-03-30T05:57:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-00181,en,IT Support,Healthcare Access Concern,"I am encountering an undesired medical data access denial scenario. My login credentials have suddenly stopped working, which might be related to a change in password policies. Despite restarting my device, verifying my credentials, and referring to the user manual, the problem remains unresolved."
TCK-0005,chat,CUST-005,premium,想咨询产品功能与上线安排,关于“视觉巡检仪”，我们想进一步了解报价与套餐方案咨询方面的信息，尤其是适用范围、交付节奏和后续支持方式。,视觉巡检仪,2026-03-30T04:56:00,open,ORD-0013,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-12956,en,Billing and Payments,Query on Pricing for Integration with Blackboard Learn,"Hello Customer Support, I am writing to request information on the pricing for integrating Blackboard Learn with your SaaS project management service. Could you kindly provide me with a comprehensive cost breakdown? Additionally, I would appreciate any details on the additional features or services included in the integration package. Also, I would like to know if there are any discounts for extended agreements or bulk purchases. I look forward to your response and hope we can arrange a call to discuss my needs and receive a customized quote. Thank you for your assistance."
TCK-0006,web,CUST-006,enterprise,账单与扣费异常，需要尽快核对,我们希望针对订单 ORD-0008 申请退款，原因是“视觉巡检仪”当前存在账单金额或发票信息异常，请结合订单状态给出下一步处理建议。,视觉巡检仪,2026-03-30T03:55:00,open,ORD-0008,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-18425,en,Billing and Payments,Problem with Monthly Subscription Double Charging,"My monthly subscription was charged twice during the billing cycle. This may have occurred due to a system glitch causing overlapping transactions. I have already checked my payment methods and tried re-subscribing, but the issue still persists. I would greatly appreciate it if you could look into this matter and provide a refund for the extra charge as soon as possible. Please let me know if you need any additional information to resolve this issue."
TCK-0007,email,CUST-007,standard,包裹运输状态异常，需要协助排查,订单 ORD-0007 对应的“云桌面协作”出现了物流轨迹长时间未更新，我们长时间没有看到新的物流更新，请帮忙核对发货与履约状态。,云桌面协作,2026-03-30T02:54:00,open,ORD-0007,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-07754,en,Returns and Exchanges,Problem Concerning Order Fulfillment,"Greetings, customer support team. I am reaching out to address an issue regarding the order fulfillment process, specifically inventory inaccuracies. Our present stock tracking and management framework appears to be inadequate, causing orders to go unfilled. Despite conducting manual inventory counts and system diagnostics, the problem remains unresolved. I kindly request your assistance in finding a resolution and enhancing our inventory management. Should you need additional details, please inform me."
TCK-0008,chat,CUST-008,premium,安全告警或权限异常影响使用，请优先处理,我们在使用“云桌面协作”时遇到安全告警或权限异常影响使用，当前影响范围正在扩大，希望尽快确认故障根因和恢复时间。,云桌面协作,2026-03-30T01:53:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-03522,en,Service Outages and Maintenance,Support for Hospital Issues,"There has been a service outage impacting hospital operations, specifically with medical data management due to a potential network failure or security breach. Attempts to reset or reboot devices have been unsuccessful."
TCK-0009,web,CUST-009,enterprise,重置密码后仍然无法登录,关于“运维控制台”的账号访问问题，目前表现为登录、密码或多因素认证异常，已经影响日常操作，请给出下一步处理建议。,运维控制台,2026-03-30T00:52:00,open,ORD-0025,account_access,Tobi-Bueck/customer-support-tickets,PUB-01459,en,IT Support,Problem with Disappearance of Project Data on Login,"Dear Customer Support, I am contacting you to report that my project data disappears when I log in. This issue has become noticeable recently, and I believe it could be due to recent software updates that are not compatible with my current setup. Despite restarting the system and updating drivers, the problem remains unresolved. Could you please examine this issue and offer a solution at the earliest convenience? Please inform me if more details from my end are needed. I am waiting for your response. Thanks for your attention to this matter."
TCK-0010,email,CUST-010,standard,需要确认方案能力和适用方式,我们最近在评估“视觉巡检仪”是否适合内部场景，想重点咨询与报价与套餐方案咨询相关的能力边界、上线节奏和最佳实践。,视觉巡检仪,2026-03-29T23:51:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-11777,en,Customer Service,Inquiry about Digital Strategies for Brand Growth and Development Services,"Dear customer support, I am eager to learn more about your digital strategies for brand growth and development services. Could you kindly share more information on the services you offer? It would be helpful if you could include details about your approach, pricing, and any success stories from your previous clients. This will assist me in understanding how your services can benefit my business. Thank you for your time and I look forward to your response."
