order_id,customer_id,product,status,delivered_days_ago,amount,eligible_for_refund
ORD-0001,CUST-001,灯塔路由器,pending,1,199.0,false
ORD-0002,CUST-002,云桌面协作,delivered,2,238.5,true
ORD-0003,CUST-003,视觉巡检仪,delivered,3,278.0,true
ORD-0004,CUST-004,安全金库,delivered,4,317.5,true
ORD-0005,CUST-005,运维控制台,delivered,5,357.0,true
ORD-0006,CUST-006,灯塔路由器,pending,6,396.5,false
ORD-0007,CUST-007,云桌面协作,delivered,7,436.0,true
ORD-0008,CUST-008,视觉巡检仪,delivered,8,475.5,true
ORD-0009,CUST-009,安全金库,delivered,9,515.0,true
ORD-0010,CUST-010,运维控制台,delivered,10,554.5,true
ORD-0011,CUST-011,灯塔路由器,pending,11,594.0,false
ORD-0012,CUST-012,云桌面协作,delivered,12,633.5,true
ORD-0013,CUST-013,视觉巡检仪,delivered,13,673.0,true
ORD-0014,CUST-014,安全金库,delivered,14,199.0,true
ORD-0015,CUST-015,运维控制台,delivered,15,238.5,true
ORD-0016,CUST-016,灯塔路由器,pending,16,278.0,false
ORD-0017,CUST-017,云桌面协作,delivered,17,317.5,true
ORD-0018,CUST-018,视觉巡检仪,delivered,18,357.0,true
ORD-0019,CUST-019,安全金库,delivered,19,396.5,true
ORD-0020,CUST-020,运维控制台,delivered,20,436.0,true
ORD-0021,CUST-021,灯塔路由器,pending,21,475.5,false
ORD-0022,CUST-022,云桌面协作,delivered,22,515.0,true
ORD-0023,CUST-023,视觉巡检仪,delivered,23,554.5,true
ORD-0024,CUST-024,安全金库,delivered,24,594.0,true
ORD-0025,CUST-025,运维控制台,delivered,25,633.5,true
ORD-0026,CUST-026,灯塔路由器,pending,26,673.0,false
ORD-0027,CUST-027,云桌面协作,delivered,27,199.0,true
ORD-0028,CUST-028,视觉巡检仪,delivered,28,238.5,true
ORD-0029,CUST-029,安全金库,delivered,29,278.0,true
ORD-0030,CUST-030,运维控制台,delivered,30,317.5,true
ORD-0031,CUST-031,灯塔路由器,pending,31,357.0,false
ORD-0032,CUST-032,云桌面协作,delivered,32,396.5,false
ORD-0033,CUST-033,视觉巡检仪,delivered,33,436.0,false
ORD-0034,CUST-034,安全金库,delivered,34,475.5,false
ORD-0035,CUST-035,运维控制台,delivered,35,515.0,false
ORD-0036,CUST-036,灯塔路由器,pending,36,554.5,false
ORD-0037,CUST-037,云桌面协作,delivered,37,594.0,false
ORD-0038,CUST-038,视觉巡检仪,delivered,38,633.5,false
ORD-0039,CUST-039,安全金库,delivered,39,673.0,false
ORD-0040,CUST-040,运维控制台,delivered,40,199.0,false
ORD-0041,CUST-041,灯塔路由器,pending,41,238.5,false
