corpus_id,mapped_category,source_dataset,source_language,source_queue,source_subject,source_body,summary_cn,match_score
PUB-13845,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Monthly Subscription Being Charged Twice,"I was charged twice during my monthly subscription billing cycle. This might have happened due to a system glitch causing overlapping transactions. I have already checked my payment methods and attempted to resubscribe, but the issue still persists. I would greatly appreciate if you could look into this matter and provide a refund for the extra charge as soon as possible. Please let me know if you need any additional information to resolve this issue.",??????????,24.0
PUB-18425,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Monthly Subscription Double Charging,"My monthly subscription was charged twice during the billing cycle. This may have occurred due to a system glitch causing overlapping transactions. I have already checked my payment methods and tried re-subscribing, but the issue still persists. I would greatly appreciate it if you could look into this matter and provide a refund for the extra charge as soon as possible. Please let me know if you need any additional information to resolve this issue.",??????????,24.0
PUB-04563,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern Regarding Monthly Subscription Billing,"Dear Customer Support, I hope this message finds you well. I am writing to draw your attention to an issue with my subscription charges. I was charged twice in the same month, and I believe this might be due to a system error. I have already reached out to your support team, who provided a resolution, but I would greatly appreciate it if you could look into the matter and provide a refund for the excess charge at the earliest possible convenience. Please let me know if you need any additional information to resolve this issue. My email address is the preferred method for communication. Thank you for your prompt attention to this matter.",??????????,20.0
PUB-12960,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Recurring Charges During Subscription Period,"There seems to be an issue with charges occurring twice during my subscription period, which might be due to a glitch in the billing system. I have reviewed my payment methods and account settings but haven't found a solution yet. I would greatly appreciate it if you could look into this matter and provide a refund for the extra charge as soon as possible. Please inform me if you need any additional information to resolve this issue.",??????????,20.0
PUB-13357,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Assistance with Billing System Error,"Concerning the issue with the billing system, there has been a mistaken double charge on the SaaS subscription. This might be due to an error in the payment processing system. Despite our efforts to contact support and review transaction records, the issue remains unresolved. We would greatly appreciate your urgent attention to this matter and a prompt refund for the incorrect charge.",??????????,20.0
PUB-13410,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Updating Billing System to Support Automated Invoicing,"We need to update the billing system to support automatic invoicing for annual subscription plans. This task includes integrating a payment gateway and automating invoice generation. The system must be capable of handling plan upgrades and downgrades, as well as sending payment reminders and notifications.",??????????,19.0
PUB-14567,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Upgrade Billing System for Annual Subscription Invoicing,"The task is to update the billing system to support the automated invoicing for annual subscription plans. This includes integrating a payment gateway and setting up automatic invoice generation. The system must also manage plan upgrades and downgrades, along with sending payment reminders and notifications.",??????????,19.0
PUB-01491,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern Regarding Monthly Subscription Charges,"Hello Customer Support, I hope you can address the issue with my subscription charges. I was charged twice in the same month and suspect it might be due to a system error. I have already contacted support and received a resolution, but I would greatly appreciate it if you could look into providing a refund for the excess charge as soon as possible. Please let me know if you need any additional information to resolve the issue. My email address for your reference is needed. Thank you for your prompt attention.",??????????,16.0
PUB-08888,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern About Monthly Subscription Charges,"Dear Support, I hope this message finds you well. I am writing to bring to your attention an issue with my subscription charges. I was charged twice for the same month, and I believe this might be due to a system glitch. I have already contacted support, and a resolution has been provided. However, I would greatly appreciate it if you could look into this matter and possibly process a refund for the excess charge soon, if possible. Please let me know if you need any additional information to resolve the issue. My email address for further contact is necessary. Thank you for your prompt attention.",??????????,16.0
PUB-06141,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Monthly Subscription Payment,"The monthly subscription fee was charged twice, which has significantly affected my account balance. This might have occurred due to a billing processing error or system glitch. I have already checked my payment method and contacted my bank, confirming that there are duplicate transactions. I would appreciate it if you could look into this matter and correct the error as soon as possible.",??????????,15.0
PUB-13464,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Monthly Subscription Fee Deduction,"My monthly subscription was charged twice, significantly affecting my account balance. This might have occurred due to a billing processing error or a system glitch. I have already verified the payment method with my bank, and they confirm there are duplicate transactions. I would greatly appreciate it if you could look into and correct this error as soon as possible.",??????????,15.0
PUB-13687,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Subscription Billing,"Greeting Customer Support, I am contacting you to highlight unanticipated subscription fees on my invoice. This could be due to a technical error in the billing system of various tools. After thorough examination of my account configuration and payment records, the issue remains unresolved. Could you kindly examine this situation and offer a resolution at your earliest convenience? If more details from me are required to address this, please inform me.",??????????,15.0
PUB-15738,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Encountering Unusual Billing Errors Across Several Products,"I am currently facing unexpected billing failures for several of my products. I have already confirmed my account details, reviewed the payment gateway status, and restarted the necessary services. The problem might stem from a payment gateway error or a subscription synchronization issue. I would greatly appreciate your support in addressing this issue. Could you assist me in pinpointing the cause and offer a solution to avoid similar problems in the future?",??????????,15.0
PUB-16067,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Modify billing system for automated annual subscription invoicing,"Adjust the billing system to enable automated invoicing for annual subscription plans. This includes linking a payment gateway and producing invoices automatically. Ensure the system can manage plan upgrades, downgrades, and payment reminders and notifications.",??????????,15.0
PUB-19041,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Subscription Renewal Payment,My subscription renewal was charged twice due to a recent processing error. I have already attempted to contact support and reviewed my billing history.,??????????,15.0
PUB-07996,billing_refund,Tobi-Bueck/customer-support-tickets,en,Returns and Exchanges,Issue With Billing Process,"Dear Support Team,\n\nI am reaching out to address a billing error that happened during my subscription renewal. After double-checking my account details and making sure my payment information is current, I received an error indicating that the payment was not processed successfully.\nI believe this could be due to a payment gateway issue, considering I have faced similar problems before. I would be very grateful if you could investigate this and provide a solution promptly. If you need any further details from me, please let me know.\nThank you for your quick response and assistance. I am looking forward to your contact. \nSincerely, [Your Name]",??????????,14.7
PUB-14583,billing_refund,Tobi-Bueck/customer-support-tickets,en,Returns and Exchanges,Billing Error Issue,"Hello Customer Support,\n\nI am contacting you to report an unexpected billing error that happened during my subscription renewal process. Even after checking my account and payment information, I encountered an error stating the payment was not processed successfully. \nI believe this error could be due to an issue with the payment gateway integration, as I have faced similar problems before. \nI would greatly appreciate your investigation and a prompt solution. Please feel free to request any additional information you may need from me to address this issue. \nThank you for your swift response. I look forward to hearing back from you soon. \nSincerely, [Your Name]",??????????,14.7
PUB-05300,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Subscription Payment,"I am reaching out to address an unexpected payment failure for my subscription renewal. This failure could be due to an expired credit card or an incorrect billing address. I have already verified my billing information and made a manual payment attempt, but the issue remains unresolved. I would be extremely grateful if you could look into this matter and provide a resolution as soon as possible. Kindly inform me if you require any further details from me to address this issue.",??????????,14.0
PUB-06528,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request to Update Billing Information for Marketing,"Hello Customer Support, I am writing to request an update to my billing information related to payment preferences for both software and hardware products used in our marketing strategies. I would appreciate your assistance in making these changes. Specifically, I would like to update my credit card information and change my billing address. Additionally, I would like to set up automatic payments for my subscription services. Please let me know the steps I need to take to complete this process. I appreciate your help with this matter and look forward to your response.",??????????,14.0
PUB-15137,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Payment Not Going Through,I am facing an unexpected issue with a payment failure on my ongoing subscription. It might be due to an expired credit card or incorrect billing info. I have reviewed my account settings and payment method but the issue still exists. Could you help me sort this out?,??????????,14.0
PUB-17013,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern about Overcharged Invoice,"I noticed an overcharge on several items on my last invoice and suspect a billing error or system issue. Despite prior communications with support and a thorough review of the invoice, the problem remains unresolved. Could you please investigate and rectify the charges? Please advise if you require further information from me to address this matter.",??????????,14.0
PUB-18273,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request to Update Payment Preferences for Marketing,"Dear customer support, I am writing to request an update to my billing information in relation to payment preferences for software and hardware products used in marketing strategies. I would appreciate your assistance in making these changes. Specifically, I would like to update my credit card information and change my billing address. Additionally, I would like to set up automatic payments for my subscription services. Please let me know the steps I need to take to complete this process. I appreciate your help and look forward to it.",??????????,14.0
PUB-01221,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Incorrect Billing of Multiple Subscriptions,"Multiple subscriptions are being billed incorrectly, which might be due to misconfigured payment gateway settings. I have already verified my account details and checked my payment history.",??????????,13.0
PUB-01268,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Report on Billing Error,"Dear Customer Support, our marketing agency noticed an unexpected billing error on the latest invoice. This might have occurred due to a system glitch or miscommunication. After reviewing previous statements and attempting to contact support for clarification, we found that the error is causing delays in our payment process. We kindly request your assistance in resolving this matter as soon as possible. Please inform us of the next steps. We appreciate your prompt attention to this issue and look forward to your response.",??????????,13.0
PUB-01580,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Encountered Billing Discrepancies with SaaS,"Noted billing discrepancies in SaaS, with recent overcharges. These issues might be linked to recent system updates or payment gateway problems. Recalculated invoices and verified payment configurations, but the problems still exist.",??????????,13.0
PUB-01716,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Updating Billing Interface SaaS Tools,"Dear Customer Support, I am writing to request an update to the billing interface for our SaaS project management tools. The current interface is cumbersome and often leads to delayed payments and frustrated customers. We propose streamlining the payment processing system to enhance the overall user experience. This could include features like automated invoicing, payment reminders, and a user-friendly payment gateway. Updating the billing interface will help reduce errors, increase customer satisfaction, and improve our bottom line.",??????????,13.0
PUB-03271,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Updating Billing Interface in SaaS Tools,"Customer Support is requesting an update to the billing interface within the SaaS project management tools. The current interface is cumbersome and often results in delayed payments and frustrated customers. We propose streamlining the payment processing system to enhance the overall user experience. This could include features such as automated invoicing, payment reminders, and a user-friendly payment gateway. By updating the billing interface, we aim to reduce errors, increase customer satisfaction, and improve the bottom line.",??????????,13.0
PUB-04849,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Reporting a Billing Error,"I am contacting you to report an unexpected billing error that happened across multiple products at the same time. I believe there might be an issue with the integration of the payment gateway system. I have already reviewed the payment settings, restarted the billing service, and reached out to the support team, however, the issue continues. I would greatly appreciate it if you could look into this matter and provide a solution promptly. Kindly inform me if you need any further details from me to address this problem.",??????????,13.0
PUB-05704,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Billing Cycle,"There was an incorrect charge during the latest billing cycle, which might be due to a misconfiguration in recurring payments. Although I have already verified the account settings and payment methods, the issue still persists. I would greatly appreciate it if you could look into this matter and provide a solution at your earliest convenience. Please inform me if there is any additional information needed to resolve the issue.",??????????,13.0
PUB-05802,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Finding an Issue with the Invoice,"I am contacting you to bring to your attention an unexpected discrepancy in my invoice. I suspect this might be a result of a potential glitch in the billing system. Despite checking my online payment history, the problem still exists. I kindly request you to examine this issue and provide a solution as soon as possible. If you need any further information from me to help resolve this, please do not hesitate to ask. I look forward to receiving your response soon. Thank you for your assistance in this matter.",??????????,13.0
PUB-06148,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Incorrect Charge,Received an unexpected charge on the latest invoice due to a billing error.,??????????,13.0
PUB-06378,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Billing Error Encountered,"There was an unexpected billing error that may be due to an outdated payment gateway integration. Despite attempting a manual payment and restarting the system, the problem still exists.",??????????,13.0
